campaign_sales_id,customer_id,campaign_id,product_id,order_id,campaign_name,campaign_type,campaign_channel,campaign_start_date,campaign_end_date,campaign_category,offer_type,offer_value,creative_id,target_segment,product_name,product_category,product_subcategory,product_price,product_cost,product_tier,product_launch_date,contact_date,contacted_flag,delivery_status,engagement_flag,engagement_type,response_flag,purchase_flag,purchase_date,quantity,gross_sales_amount,discount_amount,net_sales_amount,gross_margin_amount,days_to_purchase,campaign_attributed_sale_flag,pu_label
CS000000001,CUS000124569,CMP0001,PRD008,ORD000000001,2024 Retention Offer Home & Kitchen 001,Retention,Email,2024-01-01,2024-01-13,Retention Offer,Percent Discount,10.0,CRT0001-EMAIL,High Income Professionals,Coffee Maker 08,Home & Kitchen,Kitchen Appliances,58.17,32.39,Economy,2022-03-28,2024-01-13,1,Delivered,1,Open,1,1,2024-01-14,2,116.34,11.63,104.71,39.93,1,1,1
CS000000002,CUS000014380,CMP0001,PRD008,,2024 Retention Offer Home & Kitchen 001,Retention,Email,2024-01-01,2024-01-13,Retention Offer,Percent Discount,10.0,CRT0001-EMAIL,High Income Professionals,Coffee Maker 08,Home & Kitchen,Kitchen Appliances,58.17,32.39,Economy,2022-03-28,2024-01-11,1,Delivered,1,Open,0,0,,0,0.0,0.0,0.0,0.0,,0,0
CS000000003,CUS000018752,CMP0001,PRD008,,2024 Retention Offer Home & Kitchen 001,Retention,Email,2024-01-01,2024-01-13,Retention Offer,Percent Discount,10.0,CRT0001-EMAIL,High Income Professionals,Coffee Maker 08,Home & Kitchen,Kitchen Appliances,58.17,32.39,Economy,2022-03-28,2024-01-05,1,Delivered,1,Click,0,0,,0,0.0,0.0,0.0,0.0,,0,0
CS000000004,CUS000062743,CMP0001,PRD008,,2024 Retention Offer Home & Kitchen 001,Retention,Email,2024-01-01,2024-01-13,Retention Offer,Percent Discount,10.0,CRT0001-EMAIL,High Income Professionals,Coffee Maker 08,Home & Kitchen,Kitchen Appliances,58.17,32.39,Economy,2022-03-28,2024-01-03,1,Delivered,0,,0,0,,0,0.0,0.0,0.0,0.0,,0,0
CS000000005,CUS000069793,CMP0001,PRD008,ORD000000002,2024 Retention Offer Home & Kitchen 001,Retention,Email,2024-01-01,2024-01-13,Retention Offer,Percent Discount,10.0,CRT0001-EMAIL,High Income Professionals,Coffee Maker 08,Home & Kitchen,Kitchen Appliances,58.17,32.39,Economy,2022-03-28,2024-01-13,1,Delivered,1,Open,1,1,2024-01-14,1,58.17,5.82,52.35,19.96,1,1,1
CS000000006,CUS000060319,CMP0001,PRD008,,2024 Retention Offer Home & Kitchen 001,Retention,Email,2024-01-01,2024-01-13,Retention Offer,Percent Discount,10.0,CRT0001-EMAIL,High Income Professionals,Coffee Maker 08,Home & Kitchen,Kitchen Appliances,58.17,32.39,Economy,2022-03-28,2024-01-08,1,Delivered,0,,0,0,,0,0.0,0.0,0.0,0.0,,0,0
CS000000007,CUS000017157,CMP0001,PRD008,,2024 Retention Offer Home & Kitchen 001,Retention,Email,2024-01-01,2024-01-13,Retention Offer,Percent Discount,10.0,CRT0001-EMAIL,High Income Professionals,Coffee Maker 08,Home & Kitchen,Kitchen Appliances,58.17,32.39,Economy,2022-03-28,2024-01-02,1,Delivered,1,Open,1,0,,0,0.0,0.0,0.0,0.0,,0,0
CS000000008,CUS000109137,CMP0001,PRD008,,2024 Retention Offer Home & Kitchen 001,Retention,Email,2024-01-01,2024-01-13,Retention Offer,Percent Discount,10.0,CRT0001-EMAIL,High Income Professionals,Coffee Maker 08,Home & Kitchen,Kitchen Appliances,58.17,32.39,Economy,2022-03-28,2024-01-05,1,Delivered,0,,0,0,,0,0.0,0.0,0.0,0.0,,0,0
CS000000009,CUS000026589,CMP0001,PRD008,,2024 Retention Offer Home & Kitchen 001,Retention,Email,2024-01-01,2024-01-13,Retention Offer,Percent Discount,10.0,CRT0001-EMAIL,High Income Professionals,Coffee Maker 08,Home & Kitchen,Kitchen Appliances,58.17,32.39,Economy,2022-03-28,2024-01-10,1,Delivered,0,,0,0,,0,0.0,0.0,0.0,0.0,,0,0
CS000000010,CUS000087690,CMP0001,PRD008,ORD000000003,2024 Retention Offer Home & Kitchen 001,Retention,Email,2024-01-01,2024-01-13,Retention Offer,Percent Discount,10.0,CRT0001-EMAIL,High Income Professionals,Coffee Maker 08,Home & Kitchen,Kitchen Appliances,58.17,32.39,Economy,2022-03-28,2024-01-07,1,Delivered,1,Click,1,1,2024-01-15,1,58.17,5.82,52.35,19.96,8,1,1
